ErrDBDriverError,[10001:database:not-set:high],"database driver error"
ErrMasterOperNotFound,[38306:dm-master:internal:high],"operation %d of task %s not found, please execute `query-status` to check status"
ErrMasterOperRespNotSuccess,[38307:dm-master:internal:high],"operation not success: %s"
ErrMasterOperRequestTimeout,[38308:dm-master:internal:high],"request is timeout, but request may be successful, please execute `query-status` to check status"
ErrWorkerParseFlagSet,[40309:dm-worker:internal:medium],"parse dm-worker config flag set"
ErrWorkerInvalidFlag,[40310:dm-worker:internal:medium],"'%s' is an invalid flag"
ErrWorkerDecodeConfigFromFile,[40311:dm-worker:internal:medium],"toml decode file"
ErrWorkerUndecodedItemFromFile,[40312:dm-worker:internal:medium],"worker config contains unknown configuration options: %s"
ErrWorkerNeedSourceID,[40313:dm-worker:internal:medium],"dm-worker should bind a non-empty source ID which represents a MySQL/MariaDB instance or a replica group. \n notice: if you use old version dm-ansible, please update to newest version."
ErrWorkerTooLongSourceID,[40314:dm-worker:internal:medium],"the length of source ID %s is more than max allowed value %d"
ErrWorkerRelayBinlogName,[40315:dm-worker:internal:medium],"relay-binlog-name %s not valid"
ErrWorkerWriteConfigFile,[40316:dm-worker:internal:medium],"write config to local file"
ErrWorkerLogInvalidHandler,[40317:dm-worker:internal:high],"handler is nil, please pass a leveldb.DB or leveldb.Transaction"
ErrWorkerLogPointerInvalid,[40318:dm-worker:internal:high],"not valid length data as pointer % X"
ErrWorkerLogFetchPointer,[40319:dm-worker:internal:high],"fetch handled pointer"
ErrWorkerLogUnmarshalPointer,[40320:dm-worker:internal:high],"unmarshal handle pointer % X"
ErrWorkerLogClearPointer,[40321:dm-worker:internal:high],"clear handled pointer"
ErrWorkerLogTaskKeyNotValid,[40322:dm-worker:internal:high],"not valid length data as task log key % X"
ErrWorkerLogUnmarshalTaskKey,[40323:dm-worker:internal:high],"unmarshal task log % X"
ErrWorkerLogFetchLogIter,[40324:dm-worker:internal:high],"fetch logs from meta with handle pointer %+v"
ErrWorkerLogGetTaskLog,[40325:dm-worker:internal:high],"get task log %d from leveldb"
ErrWorkerLogUnmarshalBinary,[40326:dm-worker:internal:high],"unmarshal task log binary % X"
ErrWorkerLogForwardPointer,[40327:dm-worker:internal:high],"forward handled pointer to %d"
ErrWorkerLogMarshalTask,[40328:dm-worker:internal:high],"marshal task log %+v"
ErrWorkerLogSaveTask,[40329:dm-worker:internal:high],"save task log %d"
ErrWorkerLogDeleteKV,[40330:dm-worker:internal:high],"delete kv with prefix % X until % X"
ErrWorkerLogDeleteKVIter,[40331:dm-worker:internal:high],"iterate kv with prefix % X"
ErrWorkerLogUnmarshalTaskMeta,[40332:dm-worker:internal:high],"unmarshal task meta % X"
ErrWorkerLogFetchTaskFromMeta,[40333:dm-worker:internal:high],"fetch tasks from meta with prefix % X"
ErrWorkerLogVerifyTaskMeta,[40334:dm-worker:internal:high],""
ErrWorkerLogGetTaskMeta,[40335:dm-worker:internal:high],"get task meta %s from kv db"
ErrWorkerLogDeleteTaskMeta,[40336:dm-worker:internal:high],"delete task meta %s from kv db"
ErrWorkerMetaTomlTransform,[40337:dm-worker:internal:high],"meta toml transform"
ErrWorkerMetaOldFileStat,[40338:dm-worker:internal:high],"get old file stat"
ErrWorkerMetaOldReadFile,[40339:dm-worker:internal:high],"read old metadata file %s"
ErrWorkerMetaEncodeTask,[40340:dm-worker:internal:high],"encode task %v"
ErrWorkerMetaRemoveOldDir,[40341:dm-worker:internal:high],"remove old meta dir"
ErrWorkerMetaTaskLogNotFound,[40342:dm-worker:internal:high],"any task operation log not found"
ErrWorkerMetaHandleTaskOrder,[40343:dm-worker:internal:high],"please handle task operation order by log ID, the log need to be handled is %+v, not %+v"
ErrWorkerMetaOpenTxn,[40344:dm-worker:internal:high],"open kv db txn"
ErrWorkerMetaCommitTxn,[40345:dm-worker:internal:high],"commit kv db txn"
ErrWorkerRelayStageNotValid,[40346:dm-worker:internal:high],"current stage is %s, %s required"
ErrWorkerRelayOperNotSupport,[40347:dm-worker:internal:high],"operation %s not supported"
ErrWorkerOpenKVDBFile,[40348:dm-worker:internal:high],"open kv db file"
ErrWorkerUpgradeCheckKVDir,[40349:dm-worker:internal:high],""
ErrWorkerMarshalVerBinary,[40350:dm-worker:internal:high],"marshal version %s to binary data"
ErrWorkerUnmarshalVerBinary,[40351:dm-worker:internal:high],"unmarshal version from data % X"
ErrWorkerGetVersionFromKV,[40352:dm-worker:internal:high],"load version with key %v from levelDB"
ErrWorkerSaveVersionToKV,[40353:dm-worker:internal:high],"save version %v into levelDB with key %v"
ErrWorkerVerAutoDowngrade,[40354:dm-worker:internal:high],"the previous version %s is newer than current %s, automatic downgrade is not supported now, please handle it manually"
ErrWorkerStartService,[40355:dm-worker:internal:high],"start server"
ErrWorkerAlreadyClosed,[40356:dm-worker:internal:high],"worker already closed"
ErrWorkerNotRunningStage,[40357:dm-worker:internal:high],"current stage is not running not valid"
ErrWorkerNotPausedStage,[40358:dm-worker:internal:high],"current stage is not paused not valid"
ErrWorkerUpdateTaskStage,[40359:dm-worker:internal:high],"can only update task on Paused stage, but current stage is %s"
ErrWorkerMigrateStopRelay,[40360:dm-worker:internal:high],"relay unit has stopped, can not be migrated"
ErrWorkerSubTaskNotFound,[40361:dm-worker:internal:high],"sub task with name %s not found"
ErrWorkerSubTaskExists,[40362:dm-worker:internal:high],"sub task %s already exists"
ErrWorkerOperSyncUnitOnly,[40363:dm-worker:internal:high],"such operation is only available for syncer, but now syncer is not running. current unit is %s"
ErrWorkerRelayUnitStage,[40364:dm-worker:internal:high],"Worker's relay log unit in invalid stage: %s"
ErrWorkerNoSyncerRunning,[40365:dm-worker:internal:high],"there is a subtask does not run syncer"
ErrWorkerCannotUpdateSourceID,[40366:dm-worker:internal:high],"update source ID is not allowed"
ErrWorkerNoAvailUnits,[40367:dm-worker:internal:high],"subtask %s has no dm units for mode %s"
ErrWorkerDDLLockInfoNotFound,[40368:dm-worker:internal:high],"DDLLockInfo with ID %s not found"
ErrWorkerDDLLockInfoExists,[40369:dm-worker:internal:high],"DDLLockInfo for task %s already exists"
ErrWorkerCacheDDLInfoExists,[40370:dm-worker:internal:high],"CacheDDLInfo for task %s already exists"
ErrWorkerExecSkipDDLConflict,[40371:dm-worker:internal:high],"execDDL and skipDDL can not specify both at the same time"
ErrWorkerExecDDLSyncerOnly,[40372:dm-worker:internal:high],"only syncer support ExecuteDDL, but current unit is %s"
ErrWorkerExecDDLTimeout,[40373:dm-worker:internal:high],"ExecuteDDL timeout, try use `query-status` to query whether the DDL is still blocking"
ErrWorkerWaitRelayCatchupTimeout,[40374:dm-worker:internal:high],"wait relay catchup timeout, loader end binlog pos: %s, relay binlog pos: %s"
ErrWorkerRelayIsPurging,[40375:dm-worker:internal:high],"relay log purger is purging, cannot start sub task %s, please try again later"
ErrTracerParseFlagSet,[42376:dm-tracer:internal:medium],"parse dm-tracer config flag set"
ErrTracerConfigTomlTransform,[42377:dm-tracer:internal:medium],"config toml transform"
ErrTracerConfigInvalidFlag,[42378:dm-tracer:internal:medium],"'%s' is an invalid flag"
ErrTracerTraceEventNotFound,[42379:dm-tracer:internal:medium],"trace event %s not found"
ErrTracerTraceIDNotProvided,[42380:dm-tracer:internal:medium],"trace id not provided"
ErrTracerParamNotValid,[42381:dm-tracer:internal:medium],"param %s value %s not valid"
ErrTracerPostMethodOnly,[42382:dm-tracer:internal:medium],"post method only"
ErrTracerEventAssertionFail,[42383:dm-tracer:internal:high],"type %s event: %v not valid"
ErrTracerEventTypeNotValid,[42384:dm-tracer:internal:high],"trace event type %d not valid"
ErrTracerStartService,[42385:dm-tracer:internal:high],"start server"
